,date,category,size,quantity,sales
0,01/01/2023,Chicken,L,21,435.75
1,01/01/2023,Chicken,M,10,167.5
2,01/01/2023,Chicken,S,5,63.75
3,01/01/2023,Classic,L,12,225.5
4,01/01/2023,Classic,M,15,225.25
5,01/01/2023,Classic,S,18,207.75
6,01/01/2023,Classic,XL,1,25.5
7,01/01/2023,Supreme,L,16,331.0
8,01/01/2023,Supreme,M,15,247.0
9,01/01/2023,Supreme,S,8,99.75
10,01/01/2023,Veggie,L,22,426.85
11,01/01/2023,Veggie,M,8,124.25
12,01/01/2023,Veggie,S,11,134.0
13,01/02/2023,Chicken,L,22,456.5
14,01/02/2023,Chicken,M,20,335.0
15,01/02/2023,Chicken,S,7,89.25
16,01/02/2023,Classic,L,10,194.0
17,01/02/2023,Classic,M,18,274.75
18,01/02/2023,Classic,S,28,312.25
19,01/02/2023,Classic,XL,2,51.0
20,01/02/2023,Supreme,L,23,474.75
21,01/02/2023,Supreme,M,16,262.5
22,01/02/2023,Supreme,S,11,170.7
23,01/02/2023,Veggie,L,18,345.75
24,01/02/2023,Veggie,M,7,112.25
25,01/02/2023,Veggie,S,9,110.5
26,01/03/2023,Chicken,L,11,228.25
27,01/03/2023,Chicken,M,6,100.5
28,01/03/2023,Chicken,S,5,63.75
29,01/03/2023,Classic,L,8,137.25
30,01/03/2023,Classic,M,6,85.5
31,01/03/2023,Classic,S,15,168.5
32,01/03/2023,Classic,XL,1,25.5
33,01/03/2023,Supreme,L,4,82.5
34,01/03/2023,Supreme,M,9,148.0
35,01/03/2023,Supreme,S,3,48.65
36,01/03/2023,Veggie,L,15,290.4
37,01/03/2023,Veggie,M,7,110.0
38,01/03/2023,Veggie,S,9,109.75
39,01/04/2023,Chicken,L,11,228.25
40,01/04/2023,Chicken,M,8,134.0
41,01/04/2023,Chicken,S,4,51.0
42,01/04/2023,Classic,L,11,192.5
43,01/04/2023,Classic,M,10,150.25
44,01/04/2023,Classic,S,22,252.25
45,01/04/2023,Classic,XL,2,51.0
46,01/04/2023,Supreme,L,16,330.0
47,01/04/2023,Supreme,M,14,229.5
48,01/04/2023,Supreme,S,5,62.5
49,01/04/2023,Veggie,L,12,223.85
50,01/04/2023,Veggie,M,8,125.75
51,01/04/2023,Veggie,S,12,146.0
52,01/05/2023,Chicken,L,19,394.25
53,01/05/2023,Chicken,M,16,268.0
54,01/05/2023,Chicken,S,5,63.75
55,01/05/2023,Classic,L,14,253.25
56,01/05/2023,Classic,M,14,204.5
57,01/05/2023,Classic,S,13,144.25
58,01/05/2023,Classic,XL,1,25.5
59,01/05/2023,Supreme,L,13,268.25
60,01/05/2023,Supreme,M,9,147.75
61,01/05/2023,Supreme,S,14,185.4
62,01/05/2023,Veggie,L,19,366.3
63,01/05/2023,Veggie,M,11,178.75
64,01/05/2023,Veggie,S,6,72.0
65,01/06/2023,Chicken,L,13,269.75
66,01/06/2023,Chicken,M,18,301.5
67,01/06/2023,Chicken,S,10,127.5
68,01/06/2023,Classic,L,8,155.75
69,01/06/2023,Classic,M,16,238.75
70,01/06/2023,Classic,S,18,202.5
71,01/06/2023,Classic,XL,4,102.0
72,01/06/2023,Supreme,L,17,350.25
73,01/06/2023,Supreme,M,16,262.75
74,01/06/2023,Supreme,S,14,218.6
75,01/06/2023,Veggie,L,25,482.15
76,01/06/2023,Veggie,M,15,235.25
77,01/06/2023,Veggie,S,10,121.0
78,01/07/2023,Chicken,L,15,311.25
79,01/07/2023,Chicken,M,9,150.75
80,01/07/2023,Chicken,S,1,12.75
81,01/07/2023,Classic,L,13,240.0
82,01/07/2023,Classic,M,11,157.75
83,01/07/2023,Classic,S,19,220.25
84,01/07/2023,Supreme,L,14,289.5
85,01/07/2023,Supreme,M,14,230.25
86,01/07/2023,Supreme,S,8,99.75
87,01/07/2023,Veggie,L,10,185.75
88,01/07/2023,Veggie,M,14,223.5
89,01/07/2023,Veggie,S,9,110.0
90,01/08/2023,Chicken,L,15,311.25
91,01/08/2023,Chicken,M,9,150.75
92,01/08/2023,Chicken,S,4,51.0
93,01/08/2023,Classic,L,12,232.0
94,01/08/2023,Classic,M,8,119.5
95,01/08/2023,Classic,S,27,304.25
96,01/08/2023,Supreme,L,10,206.5
97,01/08/2023,Supreme,M,12,197.0
98,01/08/2023,Supreme,S,15,197.4
99,01/08/2023,Veggie,L,17,326.4
100,01/08/2023,Veggie,M,11,174.75
101,01/08/2023,Veggie,S,14,169.75
102,01/09/2023,Chicken,L,16,332.0
103,01/09/2023,Chicken,M,6,100.5
104,01/09/2023,Chicken,S,9,114.75
105,01/09/2023,Classic,L,12,225.5
106,01/09/2023,Classic,M,10,153.0
107,01/09/2023,Classic,S,21,237.0
108,01/09/2023,Classic,XL,3,76.5
109,01/09/2023,Supreme,L,9,186.25
110,01/09/2023,Supreme,M,16,263.0
111,01/09/2023,Supreme,S,14,184.9
112,01/09/2023,Veggie,L,10,195.7
113,01/09/2023,Veggie,M,11,174.0
114,01/09/2023,Veggie,S,9,109.75
115,01/10/2023,Chicken,L,14,290.5
116,01/10/2023,Chicken,M,13,217.75
117,01/10/2023,Chicken,S,8,102.0
118,01/10/2023,Classic,L,17,311.0
119,01/10/2023,Classic,M,17,253.5
120,01/10/2023,Classic,S,23,259.5
121,01/10/2023,Classic,XL,4,102.0
122,01/10/2023,Supreme,L,18,370.5
123,01/10/2023,Supreme,M,29,475.0
124,01/10/2023,Supreme,S,9,111.75
125,01/10/2023,Veggie,L,22,424.65
126,01/10/2023,Veggie,M,10,162.75
127,01/10/2023,Veggie,S,10,121.25
128,01/11/2023,Chicken,L,13,269.75
129,01/11/2023,Chicken,M,9,150.75
130,01/11/2023,Chicken,S,6,76.5
131,01/11/2023,Classic,L,8,144.25
132,01/11/2023,Classic,M,15,223.25
133,01/11/2023,Classic,S,16,181.25
134,01/11/2023,Classic,XL,2,51.0
135,01/11/2023,Supreme,L,5,102.75
136,01/11/2023,Supreme,M,10,164.25
137,01/11/2023,Supreme,S,10,124.25
138,01/11/2023,Veggie,L,14,270.9
139,01/11/2023,Veggie,M,9,142.75
140,01/11/2023,Veggie,S,7,85.0
141,01/12/2023,Chicken,L,9,186.75
142,01/12/2023,Chicken,M,11,184.25
143,01/12/2023,Chicken,S,8,102.0
144,01/12/2023,Classic,L,13,231.75
145,01/12/2023,Classic,M,13,182.75
146,01/12/2023,Classic,S,12,135.25
147,01/12/2023,Supreme,L,8,166.0
148,01/12/2023,Supreme,M,15,246.75
149,01/12/2023,Supreme,S,10,124.25
150,01/12/2023,Veggie,L,13,243.2
151,01/12/2023,Veggie,M,11,177.25
152,01/12/2023,Veggie,S,8,96.5
153,02/01/2023,Chicken,L,14,290.5
154,02/01/2023,Chicken,M,9,150.75
155,02/01/2023,Chicken,S,3,38.25
156,02/01/2023,Classic,L,12,243.0
157,02/01/2023,Classic,M,13,198.0
158,02/01/2023,Classic,S,7,78.5
159,02/01/2023,Classic,XL,3,76.5
160,02/01/2023,Supreme,L,11,226.25
161,02/01/2023,Supreme,M,10,165.0
162,02/01/2023,Supreme,S,9,122.4
163,02/01/2023,Veggie,L,8,152.7
164,02/01/2023,Veggie,M,15,235.0
165,02/01/2023,Veggie,S,6,72.75
166,02/02/2023,Chicken,L,18,373.5
167,02/02/2023,Chicken,M,11,184.25
168,02/02/2023,Chicken,S,6,76.5
169,02/02/2023,Classic,L,10,191.75
170,02/02/2023,Classic,M,8,113.25
171,02/02/2023,Classic,S,16,179.5
172,02/02/2023,Classic,XL,2,51.0
173,02/02/2023,Supreme,L,18,370.5
174,02/02/2023,Supreme,M,11,181.5
175,02/02/2023,Supreme,S,15,185.75
176,02/02/2023,Veggie,L,21,406.4
177,02/02/2023,Veggie,M,11,176.25
178,02/03/2023,Veggie,S,3,37.25
179,02/03/2023,Chicken,L,11,228.25
180,02/03/2023,Chicken,M,11,184.25
181,02/03/2023,Chicken,S,4,51.0
182,02/03/2023,Classic,L,8,140.25
183,02/03/2023,Classic,M,6,82.0
184,02/03/2023,Classic,S,20,221.5
185,02/03/2023,Classic,XL,2,51.0
186,02/03/2023,Supreme,L,13,269.25
187,02/03/2023,Supreme,M,11,180.75
188,02/03/2023,Supreme,S,12,148.75
189,02/03/2023,Veggie,L,12,229.05
190,02/03/2023,Veggie,M,11,174.75
191,02/04/2023,Veggie,S,2,24.0
192,02/04/2023,Chicken,L,14,290.5
193,02/04/2023,Chicken,M,13,217.75
194,02/04/2023,Chicken,S,7,89.25
195,02/04/2023,Classic,L,15,262.5
196,02/04/2023,Classic,M,13,198.0
197,02/04/2023,Classic,S,16,181.0
198,02/04/2023,Classic,XL,2,51.0
199,02/04/2023,Supreme,L,12,248.0
200,02/04/2023,Supreme,M,8,131.25
201,02/04/2023,Supreme,S,11,136.5
202,02/04/2023,Veggie,L,21,411.65
203,02/04/2023,Veggie,M,16,255.5
204,02/05/2023,Veggie,S,10,121.25
205,02/05/2023,Chicken,L,23,477.25
206,02/05/2023,Chicken,M,10,167.5
207,02/05/2023,Chicken,S,4,51.0
208,02/05/2023,Classic,L,11,196.5
209,02/05/2023,Classic,M,10,146.0
210,02/05/2023,Classic,S,21,232.5
211,02/05/2023,Classic,XL,1,25.5
212,02/05/2023,Supreme,L,9,185.25
213,02/05/2023,Supreme,M,5,82.25
214,02/05/2023,Supreme,S,13,195.2
215,02/05/2023,Veggie,L,8,158.9
216,02/05/2023,Veggie,M,6,97.25
217,02/06/2023,Veggie,S,4,49.0
218,02/06/2023,Chicken,L,9,186.75
219,02/06/2023,Chicken,M,14,234.5
220,02/06/2023,Chicken,S,5,63.75
221,02/06/2023,Classic,L,16,274.0
222,02/06/2023,Classic,M,4,62.5
223,02/06/2023,Classic,S,13,145.75
224,02/06/2023,Classic,XL,1,25.5
225,02/06/2023,Supreme,L,8,165.5
226,02/06/2023,Supreme,M,14,230.25
227,02/06/2023,Supreme,S,10,124.0
228,02/06/2023,Veggie,L,13,251.85
229,02/07/2023,Veggie,M,8,127.25
230,02/07/2023,Veggie,S,7,85.25
231,02/07/2023,Chicken,L,14,290.5
232,02/07/2023,Chicken,M,10,167.5
233,02/07/2023,Chicken,S,9,114.75
234,02/07/2023,Classic,L,22,402.0
235,02/07/2023,Classic,M,7,105.75
236,02/07/2023,Classic,S,20,226.5
237,02/07/2023,Classic,XL,3,76.5
238,02/07/2023,Supreme,L,12,248.0
239,02/07/2023,Supreme,M,6,98.5
240,02/07/2023,Supreme,S,4,60.9
241,02/07/2023,Veggie,L,19,366.75
242,02/08/2023,Veggie,M,9,144.75
243,02/08/2023,Veggie,S,7,84.75
244,02/08/2023,Chicken,L,8,166.0
245,02/08/2023,Chicken,M,13,217.75
246,02/08/2023,Chicken,S,7,89.25
247,02/08/2023,Classic,L,9,168.25
248,02/08/2023,Classic,M,10,153.0
249,02/08/2023,Classic,S,14,162.5
250,02/08/2023,Classic,XL,1,25.5
251,02/08/2023,Supreme,L,23,475.75
252,02/08/2023,Supreme,M,13,214.5
253,02/08/2023,Supreme,S,13,183.55
254,02/09/2023,Veggie,L,17,320.35
255,02/09/2023,Veggie,M,10,161.5
256,02/09/2023,Veggie,S,5,60.0
257,02/09/2023,Chicken,L,10,207.5
258,02/09/2023,Chicken,M,8,134.0
259,02/09/2023,Chicken,S,8,102.0
260,02/09/2023,Classic,L,8,140.25
261,02/09/2023,Classic,M,11,163.25
262,02/09/2023,Classic,S,17,191.75
263,02/09/2023,Classic,XL,1,25.5
264,02/09/2023,Supreme,L,8,165.0
265,02/09/2023,Supreme,M,11,180.5
266,02/10/2023,Supreme,S,14,184.9
267,02/10/2023,Veggie,L,15,283.9
268,02/10/2023,Veggie,M,11,177.5
269,02/10/2023,Veggie,S,7,84.5
270,02/10/2023,Chicken,L,10,207.5
271,02/10/2023,Chicken,M,14,234.5
272,02/10/2023,Chicken,S,13,165.75
273,02/10/2023,Classic,L,10,183.75
274,02/10/2023,Classic,M,11,161.25
275,02/10/2023,Classic,S,27,300.5
276,02/10/2023,Classic,XL,3,76.5
277,02/10/2023,Supreme,L,10,206.0
278,02/10/2023,Supreme,M,8,131.0
279,02/11/2023,Supreme,S,10,146.8
280,02/11/2023,Veggie,L,16,309.4
281,02/11/2023,Veggie,M,15,239.5
282,02/11/2023,Veggie,S,11,134.25
283,02/11/2023,Chicken,L,14,290.5
284,02/11/2023,Chicken,M,8,134.0
285,02/11/2023,Chicken,S,10,127.5
286,02/11/2023,Classic,L,15,273.0
287,02/11/2023,Classic,M,12,177.25
288,02/11/2023,Classic,S,23,262.0
289,02/11/2023,Classic,XL,1,25.5
290,02/11/2023,Supreme,L,8,165.5
291,02/11/2023,Supreme,M,10,164.5
292,02/12/2023,Supreme,S,11,136.75
293,02/12/2023,Veggie,L,19,359.95
294,02/12/2023,Veggie,M,15,234.0
295,02/12/2023,Veggie,S,6,73.25
296,02/12/2023,Chicken,L,10,207.5
297,02/12/2023,Chicken,M,9,150.75
298,02/12/2023,Chicken,S,8,102.0
299,02/12/2023,Classic,L,10,192.75
300,02/12/2023,Classic,M,5,78.5
301,02/12/2023,Classic,S,18,204.5
302,02/12/2023,Classic,XL,1,25.5
303,02/12/2023,Supreme,L,14,289.5
304,02/12/2023,Supreme,M,11,181.0
305,03/01/2023,Supreme,S,19,258.8
306,03/01/2023,Veggie,L,15,291.7
307,03/01/2023,Veggie,M,10,160.5
308,03/01/2023,Veggie,S,12,146.25
309,03/01/2023,Chicken,L,10,207.5
310,03/01/2023,Chicken,M,6,100.5
311,03/01/2023,Chicken,S,5,63.75
312,03/01/2023,Classic,L,5,93.25
313,03/01/2023,Classic,M,7,110.5
314,03/01/2023,Classic,S,17,189.5
315,03/01/2023,Supreme,L,5,102.75
316,03/01/2023,Supreme,M,6,98.5
317,03/01/2023,Supreme,S,13,195.45
318,03/02/2023,Veggie,L,10,193.85
319,03/02/2023,Veggie,M,12,189.5
320,03/02/2023,Veggie,S,6,72.5
321,03/02/2023,Chicken,L,14,290.5
322,03/02/2023,Chicken,M,7,117.25
323,03/02/2023,Chicken,S,2,25.5
324,03/02/2023,Classic,L,8,146.75
325,03/02/2023,Classic,M,8,116.0
326,03/02/2023,Classic,S,16,180.5
327,03/02/2023,Classic,XL,1,25.5
328,03/02/2023,Classic,XXL,1,35.95
329,03/02/2023,Supreme,L,12,246.5
330,03/02/2023,Supreme,M,7,114.75
331,03/03/2023,Supreme,S,8,110.65
