,date,category,size,hours,quantity,sales
0,2023/01/01,Chicken,L,11,1.0,1722.25
1,2023/01/01,Chicken,L,13,7.0,12055.75
2,2023/01/01,Chicken,L,14,2.0,3444.5
3,2023/01/01,Chicken,L,15,3.0,5166.75
4,2023/01/01,Chicken,L,16,1.0,1722.25
5,2023/01/01,Chicken,L,18,3.0,5166.75
6,2023/01/01,Chicken,L,19,1.0,1722.25
7,2023/01/01,Chicken,L,20,1.0,1722.25
8,2023/01/01,Chicken,L,22,2.0,3444.5
9,2023/01/01,Chicken,M,13,1.0,1390.25
10,2023/01/01,Chicken,M,14,1.0,1390.25
11,2023/01/01,Chicken,M,16,1.0,1390.25
12,2023/01/01,Chicken,M,17,2.0,2780.5
13,2023/01/01,Chicken,M,18,2.0,2780.5
14,2023/01/01,Chicken,M,19,1.0,1390.25
15,2023/01/01,Chicken,M,20,2.0,2780.5
16,2023/01/01,Chicken,S,12,1.0,1058.25
17,2023/01/01,Chicken,S,13,1.0,1058.25
18,2023/01/01,Chicken,S,14,1.0,1058.25
19,2023/01/01,Chicken,S,15,1.0,1058.25
20,2023/01/01,Chicken,S,17,1.0,1058.25
21,2023/01/01,Classic,L,12,1.0,1701.5
22,2023/01/01,Classic,L,13,3.0,4668.75
23,2023/01/01,Classic,L,14,1.0,1701.5
24,2023/01/01,Classic,L,15,1.0,1701.5
25,2023/01/01,Classic,L,16,1.0,1452.5
26,2023/01/01,Classic,L,17,1.0,1701.5
27,2023/01/01,Classic,L,18,3.0,4523.5
28,2023/01/01,Classic,L,19,1.0,1265.75
29,2023/01/01,Classic,M,11,2.0,2427.75
30,2023/01/01,Classic,M,14,3.0,3693.5
31,2023/01/01,Classic,M,15,1.0,1328.0
32,2023/01/01,Classic,M,16,2.0,2365.5
33,2023/01/01,Classic,M,19,3.0,3693.5
34,2023/01/01,Classic,M,20,1.0,1203.5
35,2023/01/01,Classic,M,21,2.0,2656.0
36,2023/01/01,Classic,M,22,1.0,1328.0
37,2023/01/01,Classic,S,12,2.0,1992.0
38,2023/01/01,Classic,S,13,4.0,3984.0
39,2023/01/01,Classic,S,14,2.0,1992.0
40,2023/01/01,Classic,S,15,2.0,1805.25
41,2023/01/01,Classic,S,16,1.0,996.0
42,2023/01/01,Classic,S,17,3.0,2739.0
43,2023/01/01,Classic,S,18,1.0,913.0
44,2023/01/01,Classic,S,19,1.0,913.0
45,2023/01/01,Classic,S,20,1.0,996.0
46,2023/01/01,Classic,S,21,1.0,913.0
47,2023/01/01,Classic,XL,18,1.0,2116.5
48,2023/01/01,Supreme,L,11,1.0,1722.25
49,2023/01/01,Supreme,L,12,3.0,5166.75
50,2023/01/01,Supreme,L,13,2.0,3403.0
51,2023/01/01,Supreme,L,16,1.0,1722.25
52,2023/01/01,Supreme,L,17,2.0,3444.5
53,2023/01/01,Supreme,L,18,4.0,6847.5
54,2023/01/01,Supreme,L,19,1.0,1722.25
55,2023/01/01,Supreme,L,20,1.0,1722.25
56,2023/01/01,Supreme,L,22,1.0,1722.25
57,2023/01/01,Supreme,M,12,3.0,4108.5
58,2023/01/01,Supreme,M,13,3.0,4087.75
59,2023/01/01,Supreme,M,14,1.0,1348.75
60,2023/01/01,Supreme,M,15,1.0,1369.5
61,2023/01/01,Supreme,M,17,2.0,2739.0
62,2023/01/01,Supreme,M,18,1.0,1369.5
63,2023/01/01,Supreme,M,19,1.0,1369.5
64,2023/01/01,Supreme,M,20,1.0,1369.5
65,2023/01/01,Supreme,M,21,1.0,1369.5
66,2023/01/01,Supreme,M,22,1.0,1369.5
67,2023/01/01,Supreme,S,12,3.0,3112.5
68,2023/01/01,Supreme,S,13,1.0,1037.5
69,2023/01/01,Supreme,S,14,1.0,1037.5
70,2023/01/01,Supreme,S,19,1.0,1037.5
71,2023/01/01,Supreme,S,21,2.0,2054.25
72,2023/01/01,Veggie,L,11,1.0,1535.5
73,2023/01/01,Veggie,L,12,1.0,1722.25
74,2023/01/01,Veggie,L,13,7.0,11283.85
75,2023/01/01,Veggie,L,14,3.0,4751.75
76,2023/01/01,Veggie,L,15,2.0,3361.5
77,2023/01/01,Veggie,L,16,1.0,1680.75
78,2023/01/01,Veggie,L,17,4.0,6195.95
79,2023/01/01,Veggie,L,18,1.0,1680.75
80,2023/01/01,Veggie,L,19,2.0,3216.25
81,2023/01/01,Veggie,M,11,1.0,1328.0
82,2023/01/01,Veggie,M,13,3.0,3880.25
83,2023/01/01,Veggie,M,15,1.0,1328.0
84,2023/01/01,Veggie,M,16,1.0,1328.0
85,2023/01/01,Veggie,M,17,1.0,1224.25
86,2023/01/01,Veggie,M,20,1.0,1224.25
87,2023/01/01,Veggie,S,12,3.0,2988.0
88,2023/01/01,Veggie,S,13,1.0,1058.25
89,2023/01/01,Veggie,S,15,2.0,1992.0
90,2023/01/01,Veggie,S,17,2.0,2033.5
91,2023/01/01,Veggie,S,18,2.0,1992.0
92,2023/01/01,Veggie,S,19,1.0,1058.25
93,2023/01/02,Chicken,L,11,2.0,3444.5
94,2023/01/02,Chicken,L,13,1.0,1722.25
95,2023/01/02,Chicken,L,14,1.0,1722.25
96,2023/01/02,Chicken,L,15,3.0,5166.75
97,2023/01/02,Chicken,L,16,2.0,3444.5
98,2023/01/02,Chicken,L,17,7.0,12055.75
99,2023/01/02,Chicken,L,19,2.0,3444.5
100,2023/01/02,Chicken,L,20,1.0,1722.25
101,2023/01/02,Chicken,L,21,2.0,3444.5
102,2023/01/02,Chicken,L,22,1.0,1722.25
103,2023/01/02,Chicken,M,14,1.0,1390.25
104,2023/01/02,Chicken,M,16,4.0,5561.0
105,2023/01/02,Chicken,M,17,4.0,5561.0
106,2023/01/02,Chicken,M,18,4.0,5561.0
107,2023/01/02,Chicken,M,19,2.0,2780.5
108,2023/01/02,Chicken,M,20,2.0,2780.5
109,2023/01/02,Chicken,M,22,3.0,4170.75
110,2023/01/02,Chicken,S,12,2.0,2116.5
111,2023/01/02,Chicken,S,14,1.0,1058.25
112,2023/01/02,Chicken,S,15,1.0,1058.25
113,2023/01/02,Chicken,S,17,1.0,1058.25
114,2023/01/02,Chicken,S,19,1.0,1058.25
115,2023/01/02,Chicken,S,20,1.0,1058.25
116,2023/01/02,Classic,L,11,1.0,1701.5
117,2023/01/02,Classic,L,13,1.0,1701.5
118,2023/01/02,Classic,L,15,1.0,1701.5
119,2023/01/02,Classic,L,16,2.0,3403.0
120,2023/01/02,Classic,L,17,3.0,4523.5
121,2023/01/02,Classic,L,22,2.0,3071.0
122,2023/01/02,Classic,M,11,4.0,5312.0
123,2023/01/02,Classic,M,12,1.0,1328.0
124,2023/01/02,Classic,M,14,2.0,2365.5
125,2023/01/02,Classic,M,15,1.0,1037.5
126,2023/01/02,Classic,M,16,5.0,6411.75
127,2023/01/02,Classic,M,18,1.0,1328.0
128,2023/01/02,Classic,M,19,3.0,3693.5
129,2023/01/02,Classic,M,20,1.0,1328.0
130,2023/01/02,Classic,S,11,5.0,4668.75
131,2023/01/02,Classic,S,12,1.0,996.0
132,2023/01/02,Classic,S,14,1.0,996.0
133,2023/01/02,Classic,S,16,7.0,6349.5
134,2023/01/02,Classic,S,17,5.0,4772.5
135,2023/01/02,Classic,S,18,3.0,2801.25
136,2023/01/02,Classic,S,19,2.0,1722.25
137,2023/01/02,Classic,S,20,1.0,809.25
138,2023/01/02,Classic,S,21,1.0,809.25
139,2023/01/02,Classic,S,22,2.0,1992.0
140,2023/01/02,Classic,XL,17,1.0,2116.5
141,2023/01/02,Classic,XL,20,1.0,2116.5
142,2023/01/02,Supreme,L,11,2.0,3444.5
143,2023/01/02,Supreme,L,12,1.0,1680.75
144,2023/01/02,Supreme,L,13,1.0,1722.25
145,2023/01/02,Supreme,L,14,4.0,6889.0
146,2023/01/02,Supreme,L,15,4.0,6806.0
147,2023/01/02,Supreme,L,16,1.0,1722.25
148,2023/01/02,Supreme,L,17,5.0,8528.25
149,2023/01/02,Supreme,L,18,2.0,3444.5
150,2023/01/02,Supreme,L,19,1.0,1722.25
151,2023/01/02,Supreme,L,21,2.0,3444.5
152,2023/01/02,Supreme,M,11,3.0,4087.75
153,2023/01/02,Supreme,M,12,3.0,4087.75
154,2023/01/02,Supreme,M,14,3.0,4108.5
155,2023/01/02,Supreme,M,15,1.0,1348.75
156,2023/01/02,Supreme,M,17,2.0,2697.5
157,2023/01/02,Supreme,M,19,1.0,1369.5
158,2023/01/02,Supreme,M,20,2.0,2739.0
159,2023/01/02,Supreme,M,22,1.0,1348.75
160,2023/01/02,Supreme,S,11,1.0,1016.75
161,2023/01/02,Supreme,S,12,1.0,1037.5
162,2023/01/02,Supreme,S,13,2.0,3000.45
163,2023/01/02,Supreme,S,14,2.0,3000.45
164,2023/01/02,Supreme,S,16,1.0,1037.5
165,2023/01/02,Supreme,S,17,1.0,1037.5
166,2023/01/02,Supreme,S,19,1.0,1962.9499999999998
167,2023/01/02,Supreme,S,20,2.0,2075.0
168,2023/01/02,Veggie,L,11,3.0,4515.2
169,2023/01/02,Veggie,L,13,2.0,3403.0
170,2023/01/02,Veggie,L,14,2.0,3257.75
171,2023/01/02,Veggie,L,15,2.0,3170.6
172,2023/01/02,Veggie,L,16,3.0,4938.5
173,2023/01/02,Veggie,L,17,3.0,4515.2
174,2023/01/02,Veggie,L,18,1.0,1535.5
175,2023/01/02,Veggie,L,19,1.0,1680.75
176,2023/01/02,Veggie,L,20,1.0,1680.75
177,2023/01/02,Veggie,M,12,1.0,1328.0
178,2023/01/02,Veggie,M,14,1.0,1390.25
179,2023/01/02,Veggie,M,16,2.0,2718.25
180,2023/01/02,Veggie,M,18,1.0,1224.25
181,2023/01/02,Veggie,M,20,2.0,2656.0
182,2023/01/02,Veggie,S,11,3.0,3050.25
183,2023/01/02,Veggie,S,15,1.0,1037.5
184,2023/01/02,Veggie,S,16,2.0,2033.5
185,2023/01/02,Veggie,S,18,1.0,996.0
186,2023/01/02,Veggie,S,20,1.0,1058.25
187,2023/01/02,Veggie,S,21,1.0,996.0
188,2023/01/03,Chicken,L,12,3.0,5166.75
189,2023/01/03,Chicken,L,15,2.0,3444.5
190,2023/01/03,Chicken,L,17,2.0,3444.5
191,2023/01/03,Chicken,L,18,1.0,1722.25
192,2023/01/03,Chicken,L,19,1.0,1722.25
193,2023/01/03,Chicken,L,20,1.0,1722.25
194,2023/01/03,Chicken,L,22,1.0,1722.25
195,2023/01/03,Chicken,M,12,1.0,1390.25
196,2023/01/03,Chicken,M,14,1.0,1390.25
197,2023/01/03,Chicken,M,15,1.0,1390.25
198,2023/01/03,Chicken,M,18,1.0,1390.25
199,2023/01/03,Chicken,M,20,1.0,1390.25
200,2023/01/03,Chicken,M,22,1.0,1390.25
201,2023/01/03,Chicken,S,11,1.0,1058.25
202,2023/01/03,Chicken,S,18,1.0,1058.25
203,2023/01/03,Chicken,S,19,1.0,1058.25
204,2023/01/03,Chicken,S,20,1.0,1058.25
205,2023/01/03,Chicken,S,22,1.0,1058.25
206,2023/01/03,Classic,L,15,1.0,1701.5
207,2023/01/03,Classic,L,17,2.0,3071.0
208,2023/01/03,Classic,L,18,1.0,1265.75
209,2023/01/03,Classic,L,19,2.0,2822.0
210,2023/01/03,Classic,L,20,1.0,1265.75
211,2023/01/03,Classic,L,22,1.0,1265.75
212,2023/01/03,Classic,M,11,1.0,1037.5
213,2023/01/03,Classic,M,14,2.0,2365.5
214,2023/01/03,Classic,M,17,2.0,2365.5
215,2023/01/03,Classic,M,18,1.0,1328.0
216,2023/01/03,Classic,S,12,1.0,871.5
217,2023/01/03,Classic,S,13,2.0,1784.5
218,2023/01/03,Classic,S,15,2.0,1867.5
219,2023/01/03,Classic,S,17,2.0,1992.0
220,2023/01/03,Classic,S,18,1.0,996.0
221,2023/01/03,Classic,S,19,4.0,3610.5
222,2023/01/03,Classic,S,20,1.0,871.5
223,2023/01/03,Classic,S,22,2.0,1992.0
224,2023/01/03,Classic,XL,19,1.0,2116.5
225,2023/01/03,Supreme,L,12,1.0,1680.75
226,2023/01/03,Supreme,L,18,2.0,3444.5
227,2023/01/03,Supreme,L,19,1.0,1722.25
228,2023/01/03,Supreme,M,12,1.0,1369.5
229,2023/01/03,Supreme,M,14,1.0,1348.75
230,2023/01/03,Supreme,M,15,1.0,1369.5
231,2023/01/03,Supreme,M,17,2.0,2739.0
232,2023/01/03,Supreme,M,18,3.0,4087.75
233,2023/01/03,Supreme,M,20,1.0,1369.5
234,2023/01/03,Supreme,S,16,1.0,1037.5
235,2023/01/03,Supreme,S,17,1.0,1037.5
236,2023/01/03,Supreme,S,20,1.0,1962.9499999999998
237,2023/01/03,Veggie,L,12,3.0,4851.35
238,2023/01/03,Veggie,L,13,1.0,1680.75
239,2023/01/03,Veggie,L,14,2.0,3071.0
240,2023/01/03,Veggie,L,15,1.0,1680.75
241,2023/01/03,Veggie,L,16,1.0,1489.85
242,2023/01/03,Veggie,L,17,2.0,3071.0
243,2023/01/03,Veggie,L,18,1.0,1680.75
244,2023/01/03,Veggie,L,19,2.0,3361.5
245,2023/01/03,Veggie,L,21,1.0,1680.75
246,2023/01/03,Veggie,L,22,1.0,1535.5
247,2023/01/03,Veggie,M,13,1.0,1328.0
248,2023/01/03,Veggie,M,14,2.0,2656.0
249,2023/01/03,Veggie,M,17,1.0,1224.25
250,2023/01/03,Veggie,M,18,3.0,3921.75
251,2023/01/03,Veggie,S,12,2.0,1992.0
252,2023/01/03,Veggie,S,14,3.0,2988.0
253,2023/01/03,Veggie,S,15,2.0,2033.5
254,2023/01/03,Veggie,S,17,1.0,1037.5
255,2023/01/03,Veggie,S,18,1.0,1058.25
256,2023/01/04,Chicken,L,12,3.0,5166.75
257,2023/01/04,Chicken,L,13,1.0,1722.25
258,2023/01/04,Chicken,L,14,1.0,1722.25
259,2023/01/04,Chicken,L,15,1.0,1722.25
260,2023/01/04,Chicken,L,17,1.0,1722.25
261,2023/01/04,Chicken,L,18,2.0,3444.5
262,2023/01/04,Chicken,L,19,2.0,3444.5
263,2023/01/04,Chicken,M,12,1.0,1390.25
264,2023/01/04,Chicken,M,13,1.0,1390.25
265,2023/01/04,Chicken,M,14,1.0,1390.25
266,2023/01/04,Chicken,M,16,2.0,2780.5
267,2023/01/04,Chicken,M,17,1.0,1390.25
268,2023/01/04,Chicken,M,21,1.0,1390.25
269,2023/01/04,Chicken,M,22,1.0,1390.25
270,2023/01/04,Chicken,S,13,1.0,1058.25
271,2023/01/04,Chicken,S,15,1.0,1058.25
272,2023/01/04,Chicken,S,19,1.0,1058.25
273,2023/01/04,Chicken,S,22,1.0,1058.25
274,2023/01/04,Classic,L,12,5.0,6868.25
275,2023/01/04,Classic,L,13,1.0,1701.5
276,2023/01/04,Classic,L,15,1.0,1265.75
277,2023/01/04,Classic,L,18,1.0,1701.5
278,2023/01/04,Classic,L,19,2.0,3071.0
279,2023/01/04,Classic,L,20,1.0,1369.5
280,2023/01/04,Classic,M,11,1.0,1037.5
281,2023/01/04,Classic,M,12,3.0,3693.5
282,2023/01/04,Classic,M,13,1.0,1328.0
283,2023/01/04,Classic,M,14,2.0,2656.0
284,2023/01/04,Classic,M,16,1.0,1328.0
285,2023/01/04,Classic,M,17,1.0,1099.75
286,2023/01/04,Classic,M,19,1.0,1328.0
287,2023/01/04,Classic,S,11,1.0,996.0
288,2023/01/04,Classic,S,12,4.0,3797.25
289,2023/01/04,Classic,S,13,3.0,2863.5
290,2023/01/04,Classic,S,14,2.0,1680.75
291,2023/01/04,Classic,S,15,1.0,913.0
292,2023/01/04,Classic,S,16,3.0,2988.0
293,2023/01/04,Classic,S,17,5.0,4980.0
294,2023/01/04,Classic,S,19,1.0,913.0
295,2023/01/04,Classic,S,20,1.0,809.25
296,2023/01/04,Classic,S,22,1.0,996.0
297,2023/01/04,Classic,XL,12,2.0,4233.0
